,ipg:site,ipg:merchantname,Country,Month,device_class,ord
0,iprice.co.id,Adidas,ID,2021-09,Web Browsers,1
1,iprice.co.id,Bhinneka,ID,2021-05,Mobile Others,1
2,iprice.co.id,BliBli,ID,2021-07,Web Browsers,3
3,iprice.co.id,Blibli,ID,2021-03,Mobile Android,1
4,iprice.co.id,Blibli,ID,2021-03,Web Browsers,7
5,iprice.co.id,Blibli,ID,2021-06,Web Browsers,1
6,iprice.co.id,Blibli,ID,2021-07,Mobile Android,7
7,iprice.co.id,Blibli,ID,2021-07,Web Browsers,20
8,iprice.co.id,Blibli,ID,2021-08,Mobile Android,1
9,iprice.co.id,Blibli,ID,2021-08,Web Browsers,1
10,iprice.co.id,Bukalapak,ID,2021-03,Mobile Android,697
11,iprice.co.id,Bukalapak,ID,2021-03,Mobile iOS,27
12,iprice.co.id,Bukalapak,ID,2021-03,Web Browsers,49
13,iprice.co.id,Bukalapak,ID,2021-04,Mobile Android,636
14,iprice.co.id,Bukalapak,ID,2021-04,Mobile iOS,36
15,iprice.co.id,Bukalapak,ID,2021-04,Web Browsers,35
16,iprice.co.id,Bukalapak,ID,2021-05,Mobile Android,526
17,iprice.co.id,Bukalapak,ID,2021-05,Mobile iOS,31
18,iprice.co.id,Bukalapak,ID,2021-05,Web Browsers,34
19,iprice.co.id,Bukalapak,ID,2021-06,Mobile Android,504
20,iprice.co.id,Bukalapak,ID,2021-06,Mobile iOS,28
21,iprice.co.id,Bukalapak,ID,2021-06,Web Browsers,44
22,iprice.co.id,Bukalapak,ID,2021-07,Mobile Android,510
23,iprice.co.id,Bukalapak,ID,2021-07,Mobile iOS,34
24,iprice.co.id,Bukalapak,ID,2021-07,Web Browsers,33
25,iprice.co.id,Bukalapak,ID,2021-08,Mobile Android,660
26,iprice.co.id,Bukalapak,ID,2021-08,Mobile iOS,27
27,iprice.co.id,Bukalapak,ID,2021-08,Web Browsers,48
28,iprice.co.id,Bukalapak,ID,2021-09,Mobile Android,236
29,iprice.co.id,Bukalapak,ID,2021-09,Mobile iOS,7
30,iprice.co.id,Bukalapak,ID,2021-09,Web Browsers,14
31,iprice.co.id,Cosmetic Love,ID,2021-07,Mobile Android,1
32,iprice.co.id,Cosmetic Love,ID,2021-08,Mobile Android,1
33,iprice.co.id,Grab,ID,2021-03,Mobile Others,5
34,iprice.co.id,GrabFood,ID,2021-05,Mobile iOS,1
35,iprice.co.id,GrabFood,ID,2021-06,Mobile Others,4
36,iprice.co.id,Groupon,ID,2021-03,Mobile Others,2
37,iprice.co.id,JD,ID,2021-03,Mobile Others,685
38,iprice.co.id,JD,ID,2021-04,Mobile Others,766
39,iprice.co.id,JD,ID,2021-05,Mobile Others,846
40,iprice.co.id,JD,ID,2021-06,Mobile Others,553
41,iprice.co.id,JD,ID,2021-07,Mobile Others,7
42,iprice.co.id,LazMall,ID,2021-03,Mobile Android,758
43,iprice.co.id,LazMall,ID,2021-03,Mobile iOS,17
44,iprice.co.id,LazMall,ID,2021-03,Web Browsers,7
45,iprice.co.id,LazMall,ID,2021-04,Mobile Android,698
46,iprice.co.id,LazMall,ID,2021-04,Mobile iOS,24
47,iprice.co.id,LazMall,ID,2021-04,Web Browsers,9
48,iprice.co.id,LazMall,ID,2021-05,Mobile Android,874
