comment,label,rate,
Áo bao đẹp ạ!!,POS,5,
Tuyệt vời !,POS,5,
2day ao khong giong trong.,NEG,1,
"Mùi thơm,bôi lên da mềm da.",POS,5,
"Vải đẹp, dày dặn.",POS,5,
"Hàng rất đẹp, rất chi là ưng ý.",POS,5,
"Chất lượng sản phẩm tốt, date dài.",POS,5,
Ăn nói và thái độ phục vụ tốt.,POS,4,
Đóng gói sản phẩm chắc chắn.,POS,5,
tất sờn hết ca chưa dùng mà vay r.,NEG,2,
Shop phục vụ rất tốt.,POS,5,
Mặc thì cũng đc.,NEU,3,
Chất vải khỏi chê.,POS,5,
Thời gian giao hàng rất nhanh.,POS,5,
Chất lượng sản phẩm tuyệt vời.,POS,4,
vải hơi thô cứng Thời gian giao hàng nhanh.,POS,5,
Chất lượng sp chưa thật sự đẹp nhe shop!,POS,4,
Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,
Quần rất đẹp mặc vừa vặn.,POS,5,
Cảm giác mua hàng bị hớ thật tệ!,NEG,2,
Khi mua về nên đi sửa lại.,NEG,2,
Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm.,NEU,3,
Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,POS,5,
Giá cả chấp nhận được.,POS,4,
Nchung là rất ổn ❤️.,POS,5,
"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua.",POS,5,
"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng.",POS,5,
😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗.,POS,5,
Giao hàng nhanh.,POS,5,
Thấy khá okz thanks shop.,POS,4,
"Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều.",POS,5,
"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng.",POS,4,
Hàng hoá lừa đảo.,NEG,1,
Thời gian giao hàng nhanh.,POS,4,
Ảnh in đẹp.,POS,5,
Giá lại rẻ.,POS,5,
Quần áo super đẹp.,POS,4,
"Giao hàng thiếu, nt cho shop đã xem mà K có phản hồi gì.",NEG,1,
Thank shop!,POS,5,
Tuyệt vời hơn khi mua trên shopee thì được freeship.,POS,5,
Tiếc là ko đặt thêm mấy chiếc.,POS,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,POS,5,
Đồng hồ mua về k sử dụg đc.,NEG,1,
Chất mềm mịn mát.,POS,5,
"Giao thiếu 1b 80k , mà im re.",NEG,1,
Sản phr rất ưng ý.,POS,5,
Chất lượng sản phẩm tuyệt vời.,POS,5,
mua lần 2 rồi <3.,POS,5,
"Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực.",NEG,1,
Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1 .,POS,5,
99k cũng đáng mua.,POS,5,
"Quần đẹp, vừa form .",POS,5,
Giao hàng nhanh.,POS,5,
"Chất vải xấu, xù.",NEG,2,
"Sp tạm được, hơi rộng so vs mình.",NEU,3,
"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.",POS,5,
"Giày nhem nhuốc, ố bẩn + Box nát.",NEG,1,
"Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc.",NEU,3,
Đủ số lượng.,POS,4,
Áo y hình Chất lượng sản phẩm tuyệt vời.,POS,5,
RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!!,POS,5,
"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương.",NEG,2,
Áo sờ chất rất thích.,POS,4,
"Váy quá đẹp,mặc lên rất tôn da.",POS,5,
"mình xài hộp màu xanh, sao lại thấy không thơm nhỉ?",POS,4,
"Giao hàng nhanh, giống hình.",POS,5,
"Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍.",POS,5,
"Hàng chất lượng tốt, mang đi êm <3.",POS,5,
Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt .,POS,4,
Người giao hàng rất có tâm đấy ạ.,POS,5,
Hàng tốt i như trong hình.,POS,5,
Giao hàng khá chậm.,NEG,2,
"Áo đẹp, hơi mỏng.",NEU,3,
Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt.,POS,5,
"Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a.",POS,5,
Màn hình to và khá là hd.,POS,5,
Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok.,NEG,2,
Quần chưa kịp mặc đã bục 1 đoạn.,NEG,2,
Mình 48kg.,NEU,3,
"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý.",POS,4,
Chất áo thì k phải lăn tănnn luôn nhưng form hơi to .,POS,4,
Shop còn có quà tặng kèm và thẻ tích điểm.,POS,5,
Mạng chạy chậm quá.,NEG,1,
"Vừa khít bụng mình mà không bị hằn,cấn.",POS,4,
Mua lần 2.,POS,4,
Chất lượng sản phẩm tốt.,POS,5,
Rất ưng ý 🤪❤️❤️.,POS,5,
"Hàng thì siêu yêu, siêu mềm mịn.",POS,5,
Chất liệu vải tốt so với giá ( 100k).,POS,4,
Chất lượng sản phẩm tạm được Thời gian giao hàng tạm được Đóng gói sản phẩm tạm được.,NEU,3,
"Đóng gói kĩ , áo còn lại đẹp.",POS,5,
"Giao nhầm hàng , ib shop k trả lời 😓😓😓.",NEG,1,
"Màu bạc rất sáng, lấp lánh hơn màu hồng.",POS,4,
"Chất áo dày dặn, form áo đẹp.",POS,5,
Ống quần bên to bên nhỏ size s và l bằng nhau.,NEG,2,
Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,
"Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok.",POS,5,
Ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ...,NEU,3,
Chất lượng sản phẩm tuyệt vời.,POS,5,
"Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄.",POS,5,
"Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc.",POS,4,
Giao hàng lâu.,NEG,2,
Sz 34 mà Khung ngực nhỏ quá.,NEG,2,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
Hàng y hình rất đẹp ạ ❤️.,POS,5,
Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém.,NEG,1,
Bàn tay mỏng nên ko nâng lắm.,NEG,2,
Đẹp lắm đấy.,POS,4,
"Áo giống hình, chất vải hơi nóng.",POS,4,
"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi.",NEG,1,
Giao hàng nhanh. .mua sp thì hỏi kĩ trước tránh thất vọng.,NEU,3,
Đóng gói sản phẩm rất đẹp và chắc chắc.,POS,5,
"Thời gian giao hàng rất nhanh, dầy dặn, đẹp.",POS,5,
có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm.,NEG,2,
"Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà.",POS,5,
Váy còn đẹp và chuẩn hơn trong hình nữa.,POS,5,
Sz 2 bộ xanh và hồng ko giống nhau.,NEG,1,
Áo rẻ đẹp phù hợp giá tiền.,POS,4,
"Áo vải cực đẹp, y hình, có điều to hơn mong đợi....",POS,5,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp.,POS,5,
Sản phản mới.Chất lượng sản phẩm tuyệt vời .,POS,5,
Giao hàng nhanh.👍👍.,POS,5,
Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại.,POS,4,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈.,POS,5,
Chất ok á..nhưng rep ib thì hơi lâu.,POS,4,
Luôn ủng hộ shop.,POS,5,
Âm thanh rất dở.,NEG,1,
Xấu và nhìn phom áo chán đời luôn.,NEG,1,
Chất lượng sản phẩm tốt Đáng đồng tiền.,POS,5,
"Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa .",POS,5,
"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍.",POS,5,
Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm.,NEG,2,
Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết.,NEG,2,
