year,country,iso,ifs,pop,rgdpmad,rgdppc,rconpc,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,lev,ltd,noncore,crisisJST,crisisJST_old,peg,peg_strict,peg_type,peg_base,JSTtrilemmaIV,JSTtrilemmaIV_R,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr
1870,Australia,AUS,193,1775,3273,14,21,209,0,3,-6,36,37,23,54,5,5,0,0,,,0,55,2,,,25.02,119.83,32.93,0,0,1,1,PEG,GBR,,,0,,,0,,,,,,0,0,,,,0,0,,,
1871,Australia,AUS,193,1675,3299,14,20,212,0,3,5,34,46,27,60,5,5,0,0,,,0,54,2,,,23.98,107.04,30.21,0,0,1,1,PEG,GBR,0,,0,,,0,,,0,,,0,0,,,,0,0,,,
1872,Australia,AUS,193,1722,3553,15,21,227,0,3,8,38,53,36,69,5,5,0,0,,,0,56,1,,,22.45,94.91,26.86,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1873,Australia,AUS,193,1769,3824,16,23,267,0,3,-11,49,50,39,74,4,5,0,0,,,0,65,1,,,21.00,101.71,28.65,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1874,Australia,AUS,193,1822,3835,16,23,288,0,3,-6,49,54,38,79,5,5,1,0,,,0,71,1,,,20.97,102.08,28.30,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1875,Australia,AUS,193,1874,4138,18,26,301,0,3,-8,50,52,38,89,5,5,1,0,,,0,80,2,,,19.60,101.91,28.05,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1876,Australia,AUS,193,1929,4007,17,25,311,0,3,-7,48,51,38,96,5,5,1,0,,,0,86,2,,,18.57,100.69,28.13,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1877,Australia,AUS,193,1995,4036,17,25,314,0,3,-15,52,51,40,106,5,4,1,0,,,0,101,2,,,18.74,106.31,24.98,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1878,Australia,AUS,193,2062,4277,18,27,324,0,3,-16,52,50,39,106,5,4,1,0,,,0,107,3,,,19.20,112.32,27.42,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1879,Australia,AUS,193,2127,4205,18,27,334,0,3,-12,48,44,37,108,5,5,1,0,,,0,103,3,,,19.33,105.52,26.23,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1880,Australia,AUS,193,2197,4285,18,26,344,0,3,1,46,59,45,115,5,4,1,0,,,0,94,3,,,18.61,90.80,28.28,0,0,1,1,PEG,GBR,1,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1881,Australia,AUS,193,2269,4455,19,28,363,0,3,-21,58,54,57,134,5,4,1,0,,,0,116,4,,,16.56,93.85,27.51,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1882,Australia,AUS,193,2348,4063,17,27,382,0,3,-30,72,57,56,149,5,4,1,0,,,0,144,4,,,16.00,103.80,25.79,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1883,Australia,AUS,193,2447,4475,19,29,412,0,3,-27,71,63,52,156,5,4,1,0,,,0,156,5,,,16.14,108.95,28.74,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1884,Australia,AUS,193,2556,4304,18,28,430,0,3,-32,74,55,57,172,5,4,1,0,,,0,167,5,,,15.11,104.59,29.72,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1885,Australia,AUS,193,2650,4422,19,29,442,0,3,-48,80,53,62,183,5,4,1,0,,,0,184,5,,,14.57,108.19,31.56,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1886,Australia,AUS,193,2741,4329,18,29,453,0,3,-44,68,42,59,186,5,4,1,0,,,0,191,6,,,14.80,109.59,31.63,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1887,Australia,AUS,193,2835,4632,20,30,473,0,3,-30,59,48,66,200,5,4,1,0,,,0,199,6,,,14.38,105.95,31.47,0,0,1,1,PEG,GBR,0,1,0,,,0,,,0,,,0,0,,,,0,0,,,
