article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
308,Aristotle,Male,-384,Stageira,,Greece,Europe,40.33333,23.5,Philosopher,Philosophy,Humanities,152,56355172,370758,31.9938
22954,Plato,Male,-427,Athens,,Greece,Europe,37.96667,23.71667,Philosopher,Philosophy,Humanities,142,46812003,329662,31.9888
1095706,Jesus Christ,Male,-4,Judea,,Israel,Asia,32.5,34.9,Religious Figure,Religion,Institutions,214,60299092,281771,31.8981
25664190,Socrates,Male,-469,Athens,,Greece,Europe,37.96667,23.71667,Philosopher,Philosophy,Humanities,137,40307143,294213,31.6521
783,Alexander the Great,Male,-356,Pella,,Greece,Europe,40.8,22.51667,Military Personnel,Military,Institutions,138,48358148,350421,31.584
18079,Leonardo da Vinci,Male,1452,Vinci,,Italy,Europe,43.78333,10.91667,Inventor,Invention,Science & Technology,174,88931135,511098,31.4644
5823,Confucius,Male,-551,Qufu,,China,Asia,,,Philosopher,Philosophy,Humanities,192,22363652,116477,31.3705
15924,Julius Caesar,Male,-100,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,128,43088745,336631,31.1161
13633,Homer,Male,-800,Smyrna,,Turkey,Europe,38.41861,27.13917,Writer,Language,Humanities,141,20839405,147797,31.1087
23275,Pythagoras,Male,-570,Samos Island,,Greece,Europe,37.75,26.83333,Philosopher,Philosophy,Humanities,114,26168219,229546,31.0691
1844,Archimedes,Male,-287,Syracuse,,Italy,Europe,37.08333,15.28333,Mathematician,Math,Science & Technology,129,22022077,170714,30.9907
19577,Moses,Male,-1391,Wadi Tumilat,,Egypt,Africa,,,Religious Figure,Religion,Institutions,115,21880195,190263,30.8632
18934,Muhammad,Male,570,Mecca,,Saudi Arabia,Asia,21.41667,39.81667,Religious Figure,Religion,Institutions,150,43026648,286844,30.65
1436,Abraham,Male,-1800,Other,,Unknown,,33.7,43.5,Religious Figure,Religion,Institutions,105,17824676,169759,30.6047
2731583,Adolf Hitler,Male,1889,Braunau am Inn,,Austria,Europe,48.25833,13.035,Politician,Government,Institutions,169,128368798,759579,30.5778
33163,Wolfgang Amadeus Mozart,Male,1756,Salzburg,,Austria,Europe,47.8,13.03333,Composer,Music,Arts,177,51363334,290188,30.5146
5314,Charlemagne,Male,742,Liège,,Belgium,Europe,,,Politician,Government,Institutions,116,26626252,229537,30.4837
32897,William Shakespeare,Male,1564,Stratford-upon-Avon,,United Kingdom,Europe,52.19,-1.71,Writer,Language,Humanities,163,74882297,459401,30.4398
21019,Michelangelo,Male,1475,Caprese Michelangelo,,Italy,Europe,43.63333,11.98333,Painter,Fine Arts,Arts,158,39992803,253119,30.4383
1273,Augustus,Male,-63,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,117,20307663,173570,30.4195
69880,Napoleon Bonaparte,Male,1769,Corsica,,France,Europe,41.9267,8.7369,Politician,Government,Institutions,145,57559307,396961,30.3263
14627,Isaac Newton,Male,1642,Woolsthorpe-by-Colsterworth,,United Kingdom,Europe,52.80986,-0.62877,Physicist,Natural Sciences,Science & Technology,191,59909049,313660,30.2889
736,Albert Einstein,Male,1879,Ulm,,Germany,Europe,48.4,9.98333,Physicist,Natural Sciences,Science & Technology,166,89771090,540790,30.2106
5635,Christopher Columbus,Male,1451,Genoa,,Italy,Europe,44.41111,8.93278,Explorer,Explorers,Exploration,153,58442090,381974,30.1753
9906294,Johann Sebastian Bach,Male,1685,Eisenach,,Germany,Europe,50.97611,10.32056,Composer,Music,Arts,144,29753654,206623,30.1672
8169,Dante Alighieri,Male,1265,Florence,,Italy,Europe,43.78333,11.25,Writer,Language,Humanities,137,20540747,149932,30.1496
17914,Ludwig van Beethoven,Male,1770,Bonn,,Germany,Europe,50.73399,7.09981,Composer,Music,Arts,153,48132344,314590,30.1093
3395,Gautama Buddha,Male,-563,Lumbini,,Nepal,Asia,27.53333,83.05,Philosopher,Philosophy,Humanities,124,23685332,191011,30.0418
60827,Cleopatra VII of Egypt,Female,-69,Alexandria,,Egypt,Africa,31.2,29.91667,Politician,Government,Institutions,100,18849501,188495,30.0367
7567080,Martin Luther,Male,1483,Eisleben,,Germany,Europe,51.51667,11.55,Religious Figure,Religion,Institutions,125,35167994,281344,30.0311
29688374,Galileo Galilei,Male,1564,Pisa,,Italy,Europe,43.71667,10.4,Astronomer,Natural Sciences,Science & Technology,146,48254299,330509,29.96
13574,Herodotus,Male,-484,Halicarnassus,,Turkey,Asia,37.03778,27.42417,Historian,History,Humanities,103,9703065,94205,29.9592
24140,Paul of Tarsus,Male,5,Tarsus,,Turkey,Asia,36.91667,34.89556,Religious Figure,Religion,Institutions,100,15781652,157817,29.8889
2030,Augustine of Hippo,Male,354,Souk Ahras,,Algeria,Africa,,,Philosopher,Philosophy,Humanities,105,17433781,166036,29.8872
9331,Euclid,Male,-325,Other,,Unknown,,,,Mathematician,Math,Science & Technology,117,10896731,93134,29.8846
32359,Virgil,Male,-70,Mantua,,Italy,Europe,45.11667,10.78333,Writer,Language,Humanities,114,9154149,80300,29.8811
21632,Nero,Male,37,Anzio,,Italy,Europe,41.44795,12.62905,Politician,Government,Institutions,79,18309769,231769,29.8599
